	ax	ay	az	gx	gy	gz

a/g:	500	-528	16074	940	323	-737
a/g:	478	-592	16106	936	274	-734
a/g:	496	-576	16118	926	273	-731
a/g:	574	-542	16156	932	270	-724
a/g:	600	-544	16052	937	256	-735
a/g:	630	-590	16118	940	259	-734
a/g:	598	-588	16124	938	278	-735
a/g:	588	-568	16170	938	287	-735
a/g:	608	-574	16148	932	287	-730
a/g:	592	-558	16176	936	309	-730
a/g:	558	-582	16194	939	313	-736
a/g:	542	-558	16122	934	332	-730
a/g:	526	-590	16090	938	322	-731
a/g:	516	-518	16080	935	290	-739
a/g:	480	-554	16094	926	256	-728
a/g:	536	-570	16116	926	226	-728
a/g:	580	-608	16100	926	223	-729
a/g:	644	-558	16180	924	249	-725
a/g:	696	-590	16138	938	298	-740
a/g:	660	-614	16108	940	315	-735
a/g:	606	-558	16164	940	332	-729
a/g:	542	-588	16234	941	362	-735
a/g:	468	-506	16122	948	332	-735
a/g:	440	-530	16094	943	321	-732
a/g:	426	-548	16090	937	286	-736
a/g:	508	-588	16086	930	236	-727
a/g:	558	-544	16190	925	197	-731
a/g:	570	-580	16136	931	224	-734
a/g:	610	-616	16146	928	238	-738
a/g:	674	-556	16050	923	249	-722
a/g:	628	-552	16112	924	276	-733
a/g:	608	-550	16208	931	283	-734
a/g:	636	-616	16232	935	293	-732
a/g:	640	-622	16148	938	321	-735
a/g:	650	-570	16104	937	345	-730
a/g:	548	-572	16122	943	349	-733
a/g:	514	-572	16100	947	343	-740
a/g:	512	-552	16156	944	326	-734
a/g:	478	-568	16090	933	307	-729
a/g:	554	-540	16096	919	301	-726
a/g:	526	-522	16006	934	274	-725
a/g:	546	-526	16100	933	246	-734
a/g:	548	-594	16198	931	236	-737
a/g:	576	-564	16170	925	235	-731
a/g:	616	-578	16142	926	241	-735
a/g:	598	-550	16186	931	250	-733
a/g:	546	-552	16108	942	251	-735
a/g:	588	-532	16134	939	242	-740
a/g:	554	-582	16174	935	254	-729
a/g:	548	-578	16168	935	250	-731
a/g:	636	-586	16124	929	265	-730
a/g:	642	-528	16122	932	312	-729
a/g:	560	-546	16142	941	321	-735
a/g:	514	-610	16222	944	339	-739
a/g:	512	-550	16124	931	343	-736
a/g:	502	-536	16072	933	313	-727
a/g:	532	-570	16164	921	288	-730
a/g:	498	-530	16078	934	271	-730
a/g:	528	-550	16096	929	259	-735
a/g:	580	-538	16140	932	246	-741
a/g:	590	-558	16150	931	259	-733
a/g:	568	-556	16124	935	258	-728
a/g:	572	-572	16144	945	268	-733
a/g:	520	-546	16104	942	256	-729
a/g:	574	-598	16176	931	253	-737
a/g:	584	-554	16182	928	265	-726
a/g:	620	-566	16198	931	294	-732
a/g:	624	-600	16114	933	303	-731
a/g:	604	-554	16142	938	345	-735
a/g:	532	-564	16158	943	350	-732
a/g:	496	-584	16058	936	330	-727
a/g:	484	-576	16042	939	317	-733
a/g:	572	-560	16128	932	294	-733
a/g:	530	-554	16092	930	264	-731
a/g:	482	-578	16070	933	262	-732
a/g:	580	-574	16094	936	255	-734
a/g:	590	-582	16126	932	276	-727
a/g:	544	-578	16106	935	278	-731
a/g:	586	-562	16156	928	272	-725
a/g:	596	-574	16136	932	266	-728
a/g:	628	-596	16132	926	274	-724
a/g:	594	-546	16112	927	267	-727
a/g:	616	-564	16162	934	287	-726
a/g:	594	-558	16142	931	303	-731
a/g:	540	-542	16104	936	307	-736
a/g:	510	-576	16128	929	286	-732
a/g:	518	-554	16126	932	275	-725
a/g:	614	-594	16126	931	282	-728
a/g:	572	-558	16110	922	273	-733
a/g:	538	-582	16106	935	274	-730
a/g:	562	-578	16140	935	274	-732
a/g:	578	-550	16126	938	268	-737
a/g:	558	-524	16142	940	266	-738
a/g:	594	-590	16066	939	278	-738
a/g:	578	-588	16190	930	266	-741
a/g:	584	-576	16132	930	270	-731
a/g:	558	-556	16138	923	260	-729
a/g:	612	-554	16194	923	266	-737
a/g:	622	-620	16122	934	270	-736
a/g:	630	-584	16164	929	288	-729
